UF,indice_pim_sem_ajuste,indice_pim _com_ajuste_sazonal,Segmentação,mês,ano
Brasil,103.84508,107.1803506,Indústrias extrativas,3,2013
Brasil,106.40551,102.1026026,Indústrias extrativas,12,2021
Brasil,105.84243,113.4289013,Indústrias extrativas,4,2025
Brasil,112.4949,113.2398788,Indústrias extrativas,6,2013
Brasil,102.48033,107.3075395,Indústrias extrativas,3,2024
Brasil,105.16354,98.76511572,Indústrias extrativas,9,2022
Brasil,110.33621,101.2414612,Indústrias extrativas,8,2023
Brasil,101.88696,102.6311114,Indústrias extrativas,11,2021
Brasil,100.71567,104.9592292,Indústrias extrativas,3,2023
Brasil,107.09504,109.9928927,Indústrias extrativas,1,2012
Brasil,92.82459,107.9985317,Indústrias extrativas,2,2025
Brasil,120.45492,115.7291481,Indústrias extrativas,10,2013
Brasil,91.49249,106.6266708,Indústrias extrativas,2,2023
Brasil,119.97843,116.3846585,Indústrias extrativas,12,2012
Brasil,106.8068,96.40099226,Indústrias extrativas,8,2022
Brasil,120.58192,114.4268188,Indústrias extrativas,7,2025
Brasil,112.94605,106.0596486,Indústrias extrativas,7,2024
Brasil,122.15066,113.9473864,Indústrias extrativas,8,2025
Brasil,96.4576,107.2529023,Indústrias extrativas,2,2024
Brasil,112.99274,111.5301576,Indústrias extrativas,9,2012
Brasil,116.14559,115.2612669,Indústrias extrativas,5,2025
Brasil,95.86896,99.28073636,Indústrias extrativas,1,2022
Brasil,111.21948,107.7373908,Indústrias extrativas,12,2024
Brasil,112.6722,111.0352029,Indústrias extrativas,9,2013
Brasil,97.63701,105.054683,Indústrias extrativas,4,2023
Brasil,98.98255,111.6886534,Indústrias extrativas,2,2013
Brasil,97.83428,103.6431309,Indústrias extrativas,1,2023
Brasil,104.17277,98.40212645,Indústrias de transformação,7,2023
Brasil,106.74015,101.8652199,Indústrias de transformação,5,2019
Brasil,91.06214,102.4014009,Indústrias de transformação,12,2024
Brasil,109.00724,102.2713513,Indústrias de transformação,7,2015
Brasil,86.95417,97.63405607,Indústrias de transformação,12,2015
Brasil,98.61882,103.5032487,Indústrias de transformação,4,2019
Brasil,98.93218,110.7862007,Indústrias de transformação,12,2014
Brasil,97.61018,97.40649755,Indústrias de transformação,3,2017
Brasil,106.08891,100.8099436,Indústrias de transformação,9,2019
Brasil,126.9833,114.2697922,Indústrias de transformação,10,2014
Brasil,88.53009,100.7908821,Indústrias de transformação,2,2018
Brasil,103.07938,116.9150041,Indústrias de transformação,2,2013
Brasil,85.93189,97.82210186,Indústrias de transformação,2,2017
